order_id,name,item,qty,amount,date
ORD26-0003,박도윤,LED 모니터 27형,3,657000,2026/01/20
ORD26-0005,정하준,모나미 볼펜 흑색,5,1750,2026/02/02
ORD26-0006,강서윤,기계식 키보드,8,468000,2026/02/10
ORD26-0007,조시우,메쉬 사무의자,7,623000,2026/02/19
ORD26-0010,임수아,외장하드 2TB,1,98000,2026/03/10
ORD26-0012,오유진,USB허브 4포트,5,29700,2026/03/24
ORD26-0013,서건우,포스트잇 노랑,7,9600,2026/03/31
ORD26-0014,신아린,철제 책상 1200,5,630000,2026/04/07
ORD26-0017,안다은, HDMI 케이블 2m ,8,,2026/04/28
ORD26-0019,류현우,  서랍장 3단  ,1,,2026/05/14
ORD26-0020,전소율,  종이컵 6.5oz  ,2,,2026/05/18
ORD26-0021,홍태민, 화이트보드 900  ,3,99000,
ORD26-0024, 손채원 ,탁상용 스탠드,6,186000,
ORD26-0026,  백서아  ,무선 마우스 광학식,8,90400,2026/01/08
ORD26-0027,  유시윤  ,LED 모니터 27형,9,1971000,2026/01/16
ORD26-0028,  남지유 ,토너 카트리지 검정,1,47000,2026/01/21
ORD26-0031,김민준,메쉬 사무의자,4,356000,2026/02/12
ORD26-0033,박도윤,기가비트 공유기,6,461000,2026/02/26
ORD26-0034,최지우,외장하드 2TB,7,686000,2026/03/04
ORD26-0035,정하준,복합기 A3,8,4320000,2026/03/14
ORD26-0038,윤하은,철제 책상 1200,2,264000,2026/04/02
ORD26-0040,임수아,USB메모리 64GB,7,63600,2026/04/16
ORD26-0041,한지호,HDMI 케이블 2m,8,,2026/04/23
ORD26-0042,오유진,라벨지 A4,6,,2026/04/29
ORD26-0045,권민서,  화이트보드 900 ,9,,2026/05/21
ORD26-0047,안다은,  문서 세단기 ,5,312000,
ORD26-0048,송지안, 탁상용 스탠드 ,3,143000,
ORD26-0049,류현우, A4 복사용지 80g  ,4,63600,
ORD26-0052, 문가은  ,토너 카트리지 검정,7,329000,2026/01/17
ORD26-0054, 손채원  ,기계식 키보드,10,702000,2026/01/31
ORD26-0055,  배은우  ,메쉬 사무의자,1,89000,2026/02/06
ORD26-0056,  백서아  ,생수 2L 12입,2,14400,2026/02/15
ORD26-0059,심도현,복합기 A3,5,2700000,2026/03/07
ORD26-0061,김민준,포스트잇 노랑,7,16800,2026/03/19
ORD26-0062,이서연,철제 책상 1200,8,1056000,2026/03/29
ORD26-0063,박도윤,믹스커피 100T,12,107100,2026/04/04
ORD26-0066,강서윤,라벨지 A4,3,,2026/04/25
ORD26-0068,윤하은,종이컵 6.5oz,5,,2026/05/07
ORD26-0069,장예준,화이트보드 900,8,,2026/05/16
ORD26-0070,임수아,노트북 거치대,9,,2026/05/23
ORD26-0073,서건우, A4 복사용지 80g  ,1,18900,
ORD26-0075,권민서,  LED 모니터 27형  ,3,757000,
ORD26-0076,황주원,  토너 카트리지 검정 ,6,188000,2026/01/12
ORD26-0077,안다은, 모나미 볼펜 흑색 ,5,-28250,2026/01/19
ORD26-0080,  전소율 ,생수 2L 12입,8,57600,2026/02/09
ORD26-0082,  문가은  ,외장하드 2TB,1,98000,2026/02/24
ORD26-0083,  양준서  ,복합기 A3,4,1080000,2026/03/02
ORD26-0084,  손채원 ,USB허브 4포트,6,29700,2026/03/09
ORD26-0087,유시윤,믹스커피 100T,6,71400,2026/03/30
ORD26-0089,심도현,HDMI 케이블 2m,8,24000,2026/04/13
ORD26-0090,노하율,라벨지 A4,9,49200,2026/04/20
ORD26-0091,김민준,서랍장 3단,2,,2026/04/27
ORD26-0094,최지우,노트북 거치대,4,,2026/05/18
ORD26-0096,강서윤,탁상용 스탠드,7,186000,
ORD26-0097,조시우,A4 복사용지 80g,8,132300,
ORD26-0098,윤하은,무선 마우스 광학식,8,72400,
ORD26-0101,한지호, 모나미 볼펜 흑색 ,2,700,2026/01/14
ORD26-0103,서건우,  메쉬 사무의자 ,6,356000,2026/01/28
ORD26-0104,신아린,  생수 2L 12입  ,5,36000,2026/02/06
ORD26-0105,권민서,  기가비트 공유기  ,6,434000,2026/02/11
ORD26-0108,  송지안 ,USB허브 4포트,9,89100,2026/03/04
ORD26-0110, 전소율 ,철제 책상 1200,3,264000,2026/03/18
ORD26-0111,  홍태민  ,믹스커피 100T,5,35700,2026/03/25
ORD26-0112, 문가은 ,USB메모리 64GB,4,140600,2026/04/01
ORD26-0115,배은우,서랍장 3단,7,378000,2026/04/22
ORD26-0117,유시윤,화이트보드 900,11,,2026/05/06
ORD26-0118,남지유,노트북 거치대,1,,2026/05/15
ORD26-0119,심도현,문서 세단기,2,,2026/05/19
ORD26-0122,이서연,무선 마우스 광학식,5,64000,
ORD26-0124,최지우,토너 카트리지 검정,8,329000,
ORD26-0125,정하준,모나미 볼펜 흑색,10,2800,
ORD26-0126,강서윤,기계식 키보드,11,702000,2026/01/16
ORD26-0129,장예준,  기가비트 공유기  ,3,192000,2026/02/06
ORD26-0131,한지호,  복합기 A3 ,5,2700000,2026/02/18
ORD26-0132,오유진, USB허브 4포트  ,6,109400,2026/02/27
ORD26-0133,서건우, 포스트잇 노랑  ,7,16800,2026/03/08
ORD26-0136,  황주원 ,USB메모리 64GB,1,15900,2026/03/27
ORD26-0138,  송지안 ,라벨지 A4,3,26400,2026/04/08
ORD26-0139,  류현우 ,서랍장 3단,4,266000,2026/04/17
ORD26-0140,  전소율  ,종이컵 6.5oz,8,15500,2026/04/24
ORD26-0143,양준서,문서 세단기,8,,2026/05/15
ORD26-0145,배은우,A4 복사용지 80g,2,,2026/05/29
ORD26-0146,백서아,무선 마우스 광학식,2,-4400,
ORD26-0147,유시윤,LED 모니터 27형,6,657000,
ORD26-0150,노하율,기계식 키보드,6,468000,
ORD26-0152,이서연,생수 2L 12입,9,57600,2026/01/25
ORD26-0153,박도윤,기가비트 공유기,12,576000,2026/02/01
ORD26-0154,최지우,외장하드 2TB,2,98000,2026/02/08
ORD26-0157,조시우,  포스트잇 노랑 ,4,9600,2026/03/01
ORD26-0159,장예준,  믹스커피 100T ,6,148400,2026/03/15
